Hari,Skor
1,-6.208456307358744
2,-11.889826719248193
3,-75873.69335149946
4,-75873.69335149975
5,-224813163.79075196
6,-17081369.614800245
7,-62907211.8486364
8,-4329326.738018536
9,-1853478.8286704996
10,-9687.163049704513
11,-24594.03566451632
12,-30298.990122473086
13,-13910.349315092435
14,-15150.885280882565
15,-19015.796334236944
16,-40406.30973558126
17,-7031.977934340288
18,-3584.8862388464813
19,-3256.5333022701916
20,-4460.156293991995
21,-380.64338031880953
22,-341.509563223277
23,-1013.7194609701944
24,-589.0669314727126
25,-39.09084623464425
26,-41.95878193839374
27,-104.95676854096949
28,-143.37332161538512
29,-365.3308687136189
30,-22.803790677846397
31,-14.931989234012493
32,-10.572051148078073
33,-4.669226899795763
34,-56.12826307672164
35,-6.424563605783745
36,-27.504385939689726
37,-27.671572654090426
38,-2.0549863867790625
39,-0.5922797044957677
40,-2.846899219085489
41,0.46792989304504506
42,-1.2194041729029168
43,-1.7561372763572884
44,-0.12980912612664497
45,0.8765400337235589
46,0.657490496738079
47,-0.8199671792087837
48,-3.480534075671092
49,-3.5421989150402275
50,-1.1943437757505309
51,-2.662777482610362
52,-2.2398611933404364
53,-3.3721528255960136
54,-4.865721849367789
55,-1.7860045710726586
56,-0.5355282848848901
57,-1.2047516268067198
58,-0.2666700056687028
59,-1.2140094697346329
60,-0.6774117606696195
61,-0.9706437953931808
62,-0.5513143115711925
63,-0.5404387410864997
64,-0.9135547299758531
65,-0.42613769781730526
66,-1.975424400509998
67,-1.1205217902201037
68,-1.1918633803361471
69,-1.173301023371129
70,-0.6249760945433891
71,-0.5414757949995666
72,-0.5016584490678786
73,-0.357963075583573
74,-0.11879043071617867
75,-0.15874458164566718
76,0.041017503204496264
77,-0.18122295045770853
78,-0.01104043167128732
79,-0.008315971830200164
80,0.3148329179261178
81,0.40666612025163673
82,0.335950295145652
83,0.22227086296767296
84,0.6854398189108529
85,0.7212173501208197
86,0.737303888283912
87,0.6377045809861257
88,0.8237906081343895
89,0.8563633724182796
90,0.8853705669347975
91,0.8899442447466444
92,0.9446525527839665
93,0.9476555505167756
94,0.959319783855399
95,0.9756135273888616
96,0.9692903672098383
97,0.9829174395532028
98,0.9781927783229639
99,0.9837442386469846
100,0.9867106529497904
101,0.9838670479347088
102,0.9870114067024898
103,0.9881422371105387
104,0.9880158314049761
105,0.9883869970751064
106,0.9880850528095467
107,0.9892903000272882
108,0.98903564250505
109,0.9890149167097194
110,0.9894129788671681
111,0.9890898294430862
112,0.989396690618746
