Hari,Skor
1,-0.8692188539120504
2,-0.8692074311557112
3,-0.8691873955594174
4,-0.8691887771632048
5,-0.8691492647533017
6,-0.8691055995679662
7,-0.8690311290069157
8,-0.8689912643041058
9,-0.8689373227797046
10,-0.8688845498660365
11,-0.8688556400101972
12,-0.8688551560513131
13,-0.8687255876805688
14,-0.8685407745283382
15,-0.8684707716359665
16,-0.8684353625693162
17,-0.8683474356944421
18,-0.8680676774144189
19,-0.867937521138564
20,-0.8679969954653488
21,-0.8676871495990781
22,-0.8674761156433544
23,-0.8672602838599122
24,-0.8672915858301466
25,-0.8669906990509837
26,-0.8667111533909999
27,-0.8664662513188062
28,-0.8662912850518307
29,-0.8659873730659482
30,-0.8662585198227637
31,-0.8660124232103583
32,-0.8654408568036718
33,-0.8649341018980579
34,-0.8648579339549041
35,-0.8642067609888031
36,-0.8639410187195653
37,-0.8635484881768343
38,-0.8631437111472642
39,-0.8626904138853773
40,-0.8623239302628807
41,-0.8627226279361346
42,-0.861894579337039
43,-0.8609452660795429
44,-0.8609608937417188
45,-0.859857813762229
46,-0.8597819727833491
47,-0.8588257221262208
48,-0.8581252485526494
49,-0.8577610074869211
50,-0.8570701985118665
51,-0.8565417103554551
52,-0.8562092950906111
53,-0.855240932036021
54,-0.8543186627785222
55,-0.8539573163770686
56,-0.8541986702429227
57,-0.8518851479000018
58,-0.8509640159529492
59,-0.8509035603060546
60,-0.8489368202088023
61,-0.8482233419029948
62,-0.8468009211009035
63,-0.8454069859874438
64,-0.8441279043926662
65,-0.8425808717836811
66,-0.8439583636524555
67,-0.8397842687953689
68,-0.8380255015903086
69,-0.8359866860909613
70,-0.8345130922851445
71,-0.833970834794161
72,-0.8306661499258334
73,-0.8287567142057595
74,-0.824991189474956
75,-0.8228340471305204
76,-0.820441978299663
77,-0.818583116005009
78,-0.8191429519654845
79,-0.8204867097030257
80,-0.8128869098415932
81,-0.8066269447789021
82,-0.8061561828795871
83,-0.8005720494910802
84,-0.7959781036417655
85,-0.7970057646290885
86,-0.7923384738328865
87,-0.7851685861016415
88,-0.7806557981871998
89,-0.7813174315339053
90,-0.770396150056313
91,-0.7684738399014461
92,-0.7636432602562562
93,-0.7584622857153829
94,-0.7540893775228883
95,-0.7481723649300844
96,-0.7446753838423315
97,-0.7281309110534078
98,-0.7202064902595147
99,-0.7155205674917469
100,-0.7100516135824515
101,-0.6873667167779995
102,-0.6780929254780748
103,-0.6642802090977908
104,-0.6586345673688614
105,-0.6418491150206231
106,-0.6292202707481178
107,-0.616112148834947
108,-0.6179725799438462
109,-0.5827915166154041
110,-0.5981133694686662
111,-0.5566269079220831
112,-0.5332381512917765
113,-0.5113606576820098
114,-0.5058903996823463
115,-0.4672632295601995
116,-0.4471962845144153
117,-0.4502788954796215
118,-0.39432631262049167
119,-0.36395055473574733
120,-0.3416829776290895
121,-0.3911775141639613
122,-0.3221844992345806
123,-0.23666296969897327
124,-0.19354383040980516
125,-0.1508680015774777
126,-0.09446067072232389
127,-0.049916308439476476
128,-0.05310283182046671
129,0.05418194585096714
130,-0.10880175623907729
131,0.06750391019772994
132,0.1911688932192992
133,0.3415728566644304
134,0.3984764845403814
135,0.417796480698844
136,0.5769839513605111
137,0.5540805140365179
138,0.663644454623082
139,0.8760609414435314
140,0.9436235212022941
141,0.9753432513948153
142,0.9443412206956395
